1755339360, 20m, 14074225, FT8, M0MLS, IO92AN, 223, Tx, KC2G, FN21WA, 291, -15
1755339420, 20m, 14074837, FT8, 2E0KCU, IO91KF, 223, Tx, DL3AG, JO52AO, 230, -14
1755339386, 20m, 14076081, FT8, M0SLI, JO02, 223, Tx, IV3CTT, JN65ST, 248, -11
1755339152, 20m, 14075032, FT8, M5MOW, IO91VT55LM, 223, Tx, OZ3TT, JO66CB, 221, -9
1755339166, 20m, 14075730, FT8, G6GXH, IO81, 223, Tx, OZ3TT, JO66CB, 221, -17
1755339197, 20m, 14074451, FT8, G8KHF, IO92KG, 223, Tx, OZ3TT, JO66CB, 221, -11
1755339347, 20m, 14074223, FT8, M0MLS, IO92AN, 223, Tx, OZ3TT, JO66CB, 221, -22
1755339270, 20m, 14074225, FT8, M0MLS, IO92AN, 223, Tx, F1VAM3, JN37UO, 227, -8
1755339405, 20m, 14074851, FT8, 2E0KCU, IO91KF, 223, Tx, WZ7I, FN20KK83, 291, -15
1755339419, 20m, 14074837, FT8, 2E0KCU, IO91KF, 223, Tx, EA3ABN, JN11BO07, 281, -13
1755339135, 20m, 14075403, FT8, GB2SL, JO03BN, 223, Tx, PC1RZ, JO22XE, 263, -14
1755339180, 20m, 14074869, FT8, M0LOW, IO90KT06, 223, Tx, DH7SB, JN48NW, 230, -16
1755339434, 20m, 14074241, FT8, M0MLS, IO92AN, 223, Tx, DH7SB, JN48NW, 230, -17
1755339386, 20m, 14076076, FT8, M0SLI, JO02, 223, Tx, F4GBD, JN05BV, 227, -21
1755339239, 20m, 14075630, FT8, M6INJ, IO90KT, 223, Tx, UI6L, KN97UH, 54, -20
1755339432, 20m, 14074235, FT8, M0MLS, IO92AN, 223, Tx, W2RF, FM28MX, 291, -9
1755339404, 20m, 14074224, FT8, M0MLS, IO92AN, 223, Tx, W3DIY, FM19CC06, 291, -17
1755339432, 20m, 14074596, FT8, M7CCZ, JO02ND, 223, Tx, PA5COR, JO23TB90, 263, -19
1755339390, 20m, 14074319, FT8, G3WGC, JO02KT, 223, Tx, SDR-JN69BA, JN69BA, 284, -11
1755339405, 20m, 14074869, FT8, G8IXM, JO02PP29, 223, Tx, OH2BUA, KP30BX, 224, -7
1755339387, 20m, 14076165, FT8, M0SLI, JO02, 223, Tx, IW2HHL, JN46OA, 248, -19
1755339165, 20m, 14074297, FT8, G3WGC, JO02KT, 223, Tx, RW4CPA, LO21UA, 54, -11
1755339374, 20m, 14074225, FT8, M0MLS, IO92AN, 223, Tx, RW4CPA, LO21UA, 54, -19
1755339431, 20m, 14074233, FT8, M0MLS, IO92AN, 223, Tx, HB9CQK, JN47GA, 287, -5
1755339417, 20m, 14074853, FT8, 2E0KCU, IO91KF, 223, Tx, EI7KO, IO53XK, 245, -16
1755339420, 20m, 14074868, FT8, G8IXM, JO02PP29, 223, Tx, N1FCC, FN43JO, 291, -18
1755339431, 20m, 14074245, FT8, M0MLS, IO92AN, 223, Tx, W2MKM, FN20NS, 291, -10
1755339417, 20m, 14074846, FT8, 2E0KCU, IO91KF, 223, Tx, F6CCS, JN27PB, 227, -1
1755339417, 20m, 14074876, FT8, G8IXM, JO02PP29, 223, Tx, F6CCS, JN27PB, 227, -4
1755339447, 20m, 14074848, FT8, 2E0KCU, IO91KF, 223, Tx, OG2A, KP11PA, 224, -13
1755339390, 20m, 14076076, FT8, M0SLI, JO02, 223, Tx, WF8Z, EM79SM, 291, -22
1755339406, 20m, 14084602, FT8, M7CCZ, JO02ND, 223, Tx, SP9GBA, JN99OQ15, 269, -24
1755339435, 20m, 14084231, FT8, M0MLS, IO92AN, 223, Tx, SP9GBA, JN99OQ15, 269, -13
1755339431, 20m, 14074225, FT8, M0MLS, IO92AN, 223, Tx, KH6M, EL96UA59QG, 291, 3
1755339120, 20m, 14075741, FT8, G6GXH, IO81, 223, Tx, DL1SP-2, JN49UO, 230, -19
1755339417, 20m, 14074846, FT8, 2E0KCU, IO91KF, 223, Tx, SV1SSL, KM18VA60, 236, -17
1755339448, 20m, 14074876, FT8, G8IXM, JO02PP29, 223, Tx, EA2AUK, IN90KH88, 281, -12
1755339450, 20m, 14074873, FT8, G8IXM, JO02PP29, 223, Tx, K8DP, EN62VT, 291, -19
1755339451, 20m, 14074843, FT8, 2E0KCU, IO91KF, 223, Tx, K8DP, EN62VT, 291, -22
1755339255, 20m, 14076241, FT8, M1DBW, IO91CO, 223, Tx, N8LI, FN41FL75, 291, -14
1755339375, 20m, 14074247, FT8, M0MLS, IO92AN, 223, Tx, DL3EL, JO40HD, 230, -14
1755339404, 20m, 14074829, FT8, GW7HQL, IO81IK, 294, Tx, CR7BTW, IN52SA, 272, -19
1755339450, 20m, 14074886, FT8, G8IXM, JO02PP29, 223, Tx, R6OJ, KN87UV, 54, -18
1755339164, 20m, 14075741, FT8, G6GXH, IO81, 223, Tx, SP6IXO, JO81QG, 269, -18
