1755339372, 20m, 14076279, FT8, M0RDW, IO82WX, 223, Rx, R2FDU, JO94WP55, 126, -7
1755339386, 20m, 14074545, FT8, M0RDW, IO82WX, 223, Rx, IU5HIU, JN53DN85, 248, -2
1755339387, 20m, 14075276, FT8, M0RDW, IO82WX, 223, Rx, IU3ACL, JN65CL, 248, -7
1755339401, 20m, 14075878, FT8, M0RDW, IO82WX, 223, Rx, OH5UY, KP20, 224, -2
1755339401, 20m, 14075546, FT8, M0RDW, IO82WX, 223, Rx, S55X, JN76LI, 499, 4
1755339401, 20m, 14074223, FT8, M0RDW, IO82WX, 223, Rx, W1HXN, FN41SO, 291, -14
1755339402, 20m, 14074955, FT8, M0RDW, IO82WX, 223, Rx, DB8BT, JO42NL, 230, -4
1755339402, 20m, 14076050, FT8, M0RDW, IO82WX, 223, Rx, UW8SM, KN28IV27HA, 288, -17
1755339402, 20m, 14075445, FT8, M0RDW, IO82WX, 223, Rx, SA5BHL, JO89EA, 284, -19
1755339357, 20m, 14076878, FT8, G0TAI, IO92PB, 223, Rx, F6BHK, JN24LM, 227, -17
1755339371, 20m, 14076280, FT8, G0TAI, IO92PB, 223, Rx, R2FDU, JO94WP55, 126, 4
1755339372, 20m, 14076231, FT8, G0TAI, IO92PB, 223, Rx, DJ3DN, JN47UN, 230, -13
1755339387, 20m, 14075285, FT8, G0TAI, IO92PB, 223, Rx, YO6PPX, KN26GN70, 275, -16
1755339387, 20m, 14075239, FT8, G0TAI, IO92PB, 223, Rx, CR7BTW, IN52SA, 272, -17
1755339401, 20m, 14075879, FT8, G0TAI, IO92PB, 223, Rx, OH5UY, KP20, 224, -9
1755339402, 20m, 14074956, FT8, G0TAI, IO92PB, 223, Rx, DB8BT, JO42NL, 230, -9
1755339404, 20m, 14076050, FT8, G0TAI, IO92PB, 223, Rx, UW8SM, KN28IV27HA, 288, -11
1755339416, 20m, 14076793, FT8, G0TAI, IO92PB, 223, Rx, DL1HQN, JO61BJ, 230, 6
1755339417, 20m, 14074750, FT8, G0TAI, IO92PB, 223, Rx, EA1C, IN72JP, 281, -13
