1755282806, 2m, 144176117, FT8, G4LPP, JO02SS, 223, Rx, G8EEM, IO93MX, 223, -11
1755282836, 2m, 144175122, FT8, G4LPP, JO02SS, 223, Rx, G0GXT, IO82RL, 223, -13
1755282779, 2m, 144176004, FT8, G4KWQ, IO92AQ09, 223, Rx, G8EEM, IO93MX, 223, -16
1755282806, 2m, 144175190, FT8, G4KWQ, IO92AQ09, 223, Rx, G0GXT, IO82RL, 223, 16
1755282596, 2m, 144175722, FT8, G4CCC, IO91ML14, 223, Rx, G8SEI, IO92FO, 223, -18
1755282836, 2m, 144175173, FT8, G4CCC, IO91ML14, 223, Rx, G0GXT, IO82RL, 223, -4
1755282851, 2m, 144175264, FT8, G0GXT, IO82RL, 223, Rx, G7GXK, IO90IS, 223, -15
1755282675, 2m, 144174795, FT8, G0KTN, IO81TI, 223, Rx, M0ALA, IO93GO, 223, -21
1755282836, 2m, 144175319, FT8, G8DJF, IO91PO, 223, Rx, G0GXT, IO82RL, 223, -12
1755282764, 2m, 144174359, FT8, M0BAA, JO01NC, 223, Rx, G6DDN, IO93BS, 223, -24
1755282836, 2m, 144175079, FT8, M0BAA, JO01NC, 223, Rx, G0GXT, IO82RL, 223, 5
1755282836, 2m, 144175578, FT8, M0MST, IO82XB, 223, Rx, G0GXT, IO82RL, 223, 7
1755282866, 2m, 144176495, FT8, M0MST, IO82XB, 223, Rx, G8EEM, IO93MX, 223, -19
1755282836, 2m, 144175142, FT8, G0LGS, IO81WV71, 223, Rx, G0GXT, IO82RL, 223, -5
1755282836, 2m, 144176059, FT8, G0LGS, IO81WV71, 223, Rx, G8EEM, IO93MX, 223, -18
1755282779, 2m, 144176148, FT8, G0JCC, IO82MA21, 223, Rx, G8EEM, IO93MX, 223, -16
1755282806, 2m, 144175233, FT8, G0JCC, IO82MA21, 223, Rx, G0GXT, IO82RL, 223, 9
1755282761, 2m, 144175869, FT8, G0JDL, JO02SI84, 223, Rx, PC5T, JO22HJ67, 263, -13
1755282761, 2m, 144174815, FT8, G0JDL, JO02SI84, 223, Rx, DG1BA, JO43LB43JK, 230, -13
1755282806, 2m, 144175148, FT8, G4SWX, JO02RF, 223, Rx, G0GXT, IO82RL, 223, -3
1755282809, 2m, 144176061, FT8, G4SWX, JO02RF, 223, Rx, G8EEM, IO93MX, 223, -15
1755282837, 2m, 144175137, FT8, G0LRD, JO02AC, 223, Rx, G0GXT, IO82RL, 223, 14
1755282837, 2m, 144175295, FT8, G0VLJ, IO80SO, 223, Rx, G0GXT, IO82RL, 223, -21
1755282836, 2m, 144175410, FT8, G4KPZ, IO92WK, 223, Rx, G0GXT, IO82RL, 223, 17
1755282690, 2m, 144174914, FT8, 2E0HSV, IO92MF, 223, Rx, M0ALA, IO93GO, 223, -17
1755282825, 2m, 144175268, FT8, 2E0HSV, IO92MF, 223, Rx, G0GXT, IO82RL, 223, -8
