2025-08-15_19:28:26, 2m, 144175537, FT8, G4LPP, JO02SS, 223, Rx, PD7JV, JO21EW, 263, -8
2025-08-15_19:24:41, 2m, 144175762, FT8, G4CCC, IO91ML14, 223, Rx, DB9VE, JN39HH, 230, -14
2025-08-15_19:24:59, 2m, 144174981, FT8, G4CCC, IO91ML14, 223, Rx, G0VXM, IO93IR61, 223, -19
2025-08-15_19:27:14, 2m, 144175913, FT8, G8SEI, IO92FO, 223, Rx, PA0RRU, JO32FX75, 263, -12
2025-08-15_19:28:14, 2m, 144174595, FT8, G8SEI, IO92FO, 223, Rx, PD2PC, JO32EW08, 263, -10
2025-08-15_19:28:14, 2m, 144174346, FT8, G8SEI, IO92FO, 223, Rx, G6DDN, IO93BS, 223, -15
2025-08-15_19:28:29, 2m, 144175305, FT8, G8SEI, IO92FO, 223, Rx, G0JDL, JO02SI84, 223, -5
2025-08-15_19:28:29, 2m, 144174875, FT8, G8SEI, IO92FO, 223, Rx, G0VXM, IO93IR61, 223, -12
2025-08-15_19:28:44, 2m, 144175659, FT8, G8SEI, IO92FO, 223, Rx, DD7LG, JO33PN, 230, -11
2025-08-15_19:28:44, 2m, 144175604, FT8, G8SEI, IO92FO, 223, Rx, PA0KJK, JO22JL, 263, -19
2025-08-15_19:26:00, 2m, 144175747, FT8, G0KTN, IO81TI, 223, Rx, G8SEI, IO92FO, 223, -16
2025-08-15_19:28:41, 2m, 144174460, FT8, G4KWQ, IO92AQ09, 223, Rx, G6DDN, IO93BS, 223, -3
2025-08-15_19:28:44, 2m, 144174683, FT8, G4KPZ, IO92WK, 223, Rx, G6DDN, IO93BS, 223, -14
2025-08-15_19:29:27, 2m, 144175640, FT8, G4KPZ, IO92WK, 223, Rx, G0JDL, JO02SI84, 223, -19
2025-08-15_19:23:45, 2m, 144175098, FT8, 2E0HSV, IO92MF, 223, Rx, G0VXM, IO93IR61, 223, -12
2025-08-15_19:24:41, 2m, 144175842, FT8, G0JCC, IO82MA21, 223, Rx, DB9VE, JN39HH, 230, -11
2025-08-15_19:27:14, 2m, 144175813, FT8, G0JCC, IO82MA21, 223, Rx, DD7LG, JO33PN, 230, -19
2025-08-15_19:29:41, 2m, 144175942, FT8, G4SWX, JO02RF, 223, Rx, PE1JSH, JO22TA, 263, -14
2025-08-15_19:26:59, 2m, 144174967, FT8, G0LRD, JO02AC, 223, Rx, G0VXM, IO93IR61, 223, -17
2025-08-15_19:26:11, 2m, 144175745, FT8, G4KVT, IO81RK, 223, Rx, DB9VE, JN39HH, 230, -18
2025-08-15_19:28:11, 2m, 144174666, FT8, G0JDL, JO02SI84, 223, Rx, PD2PC, JO32EW08, 263, -6
2025-08-15_19:25:58, 2m, 144175730, FT8, G8FJG, JO01CM43, 223, Rx, G8SEI, IO92FO, 223, -19
2025-08-15_19:26:58, 2m, 144174976, FT8, G8FJG, JO01CM43, 223, Rx, G0VXM, IO93IR61, 223, -20
2025-08-15_19:30:41, 2m, 144174760, FT8, G0GXT, IO82RL, 223, Rx, M0ALA, IO93GO, 223, -5
2025-08-15_19:28:56, 2m, 144176428, FT8, M0CRX, IO91KF, 223, Rx, F6ANO, JN18JR, 227, -16
2025-08-15_19:30:30, 2m, 144174814, FT8, G4SWX, JO02RF, 223, Rx, DG1BA, JO43LB43JK, 230, -19
2025-08-15_19:30:26, 2m, 144174868, FT8, G4LPP, JO02SS, 223, Rx, DG1BA, JO43LB43JK, 230, -18
2025-08-15_19:31:11, 2m, 144174659, FT8, G4LPP, JO02SS, 223, Rx, M0ALA, IO93GO, 223, -16
2025-08-15_19:30:44, 2m, 144175222, FT8, M0MST, IO82XB, 223, Rx, M0ALA, IO93GO, 223, -21
2025-08-15_19:26:45, 2m, 144174869, FT8, GB0SNB.SDR, JO01DQ, 223, Rx, G0VXM, IO93IR61, 223, -12
2025-08-15_19:30:14, 2m, 144175730, FT8, G0JDL, JO02SI84, 223, Rx, DB9VE, JN39HH, 230, -11
2025-08-15_19:31:11, 2m, 144174795, FT8, G0JDL, JO02SI84, 223, Rx, M0ALA, IO93GO, 223, -17
2025-08-15_19:31:26, 2m, 144175531, FT8, G0JDL, JO02SI84, 223, Rx, G8SEI, IO92FO, 223, -11
2025-08-15_19:30:26, 2m, 144174749, FT8, M0BAA, JO01NC, 223, Rx, DG1BA, JO43LB43JK, 230, -11
2025-08-15_19:32:26, 2m, 144175133, FT8, M0BAA, JO01NC, 223, Rx, F6ASP, JO00WW, 227, 19
2025-08-15_19:32:26, 2m, 144175201, FT8, G4DCV, IO91OF, 223, Rx, F6ASP, JO00WW, 227, -10
2025-08-15_19:32:41, 2m, 144175772, FT8, M0BAA, JO01NC, 223, Rx, PC5T, JO22HJ67, 263, -13
2025-08-15_19:32:27, 2m, 144175200, FT8, G4SWX, JO02RF, 223, Rx, F6ASP, JO00WW, 227, -11
2025-08-15_19:32:41, 2m, 144175837, FT8, G4SWX, JO02RF, 223, Rx, PC5T, JO22HJ67, 263, 9
2025-08-15_19:32:59, 2m, 144175991, FT8, G8SEI, IO92FO, 223, Rx, G8EEM, IO93MX, 223, -5
2025-08-15_19:32:56, 2m, 144176326, FT8, G4KPZ, IO92WK, 223, Rx, G8EEM, IO93MX, 223, -5
2025-08-15_19:32:59, 2m, 144176033, FT8, G0GXT, IO82RL, 223, Rx, G8EEM, IO93MX, 223, -12
2025-08-15_19:31:41, 2m, 144174851, FT8, G1OJS, IO90JU, 223, Rx, M0ALA, IO93GO, 223, -15
2025-08-15_19:32:59, 2m, 144175095, FT8, GW4WVO, IO81IL, 294, Rx, G8EEM, IO93MX, 223, -18
2025-08-15_19:29:43, 2m, 144176066, FT8, G4PIQ, JO02OD, 223, Rx, PE1JSH, JO22TA, 263, -11
2025-08-15_19:30:13, 2m, 144175853, FT8, G4PIQ, JO02OD, 223, Rx, DB9VE, JN39HH, 230, -13
2025-08-15_19:30:58, 2m, 144174938, FT8, G4PIQ, JO02OD, 223, Rx, DG1BA, JO43LB43JK, 230, -12
2025-08-15_19:31:43, 2m, 144174547, FT8, G4PIQ, JO02OD, 223, Rx, G6DDN, IO93BS, 223, -18
2025-08-15_19:32:43, 2m, 144175961, FT8, G4PIQ, JO02OD, 223, Rx, PC5T, JO22HJ67, 263, -16
2025-08-15_19:28:59, 2m, 144174253, FT8, G8DGR, IO91JJ, 223, Rx, G0JDL, JO02SI84, 223, -18
