1755345600, 20m, 14075264, FT8, 2E0ROJ, IO92LM, 223, Tx, CT2089SWL, IM59PP, 272, -13
1755345705, 20m, 14075475, FT8, M5ADL, IO80XS, 223, Tx, CT2089SWL, IM59PP, 272, -12
1755345734, 20m, 14076033, FT8, M7DLB, IO90PS, 223, Tx, CT2089SWL, IM59PP, 272, -4
1755345749, 20m, 14076671, FT8, M0XFI, IO92CK, 223, Tx, CT2089SWL, IM59PP, 272, -14
1755345809, 40m, 7075953, FT8, M5MOW, IO91VT55LM, 223, Tx, ON5ZZ, JO11VA36, 209, 8
1755345792, 20m, 14075512, FT8, M0JBF, IO91RV, 223, Tx, SP7QJF, KO10FQ09, 269, -8
1755345794, 20m, 14075509, FT8, M0JBF, IO91RV, 223, Tx, K2SAB, FN11LG, 291, -14
1755345791, 20m, 14075626, FT8, M0JBF, IO91RV, 223, Tx, IW0FGX, JN61KN, 248, 3
1755345807, 20m, 14074516, FT8, MW7FGG, IO81HQ, 294, Tx, IW0FGX, JN61KN, 248, -11
1755345776, 15m, 21076296, FT8, M1DBW, IO91CO, 223, Tx, IK5SRB, JN63BN67, 248, -18
1755345791, 20m, 14075516, FT8, M0JBF, IO91RV, 223, Tx, IU8PLP, JN70HV, 248, 7
1755345806, 20m, 14076403, FT8, M7GGV, IO91QM, 223, Tx, IU8PLP, JN70HV, 248, -3
1755345807, 20m, 14074865, FT8, G8IXM, JO02PP29, 223, Tx, OH1CMV, KP10EJ, 224, -15
1755345822, 20m, 14076054, FT8, M7DLB, IO90PS, 223, Tx, OH1CMV, KP10EJ, 224, -15
1755345616, 20m, 14074888, FT8, G4MHJ, JO01BL74, 223, Tx, VE6JY, DO33OR, 1, -12
1755345616, 20m, 14076400, FT8, M7GGV, IO91QM, 223, Tx, VE6JY, DO33OR, 1, -15
1755345599, 20m, 14076397, FT8, M7GGV, IO91QM, 223, Tx, ES6DO, KO27WX, 52, -9
1755345749, 20m, 14076694, FT8, M0XFI, IO92CK, 223, Tx, ES6DO, KO27WX, 52, -13
1755345764, 20m, 14076056, FT8, M7DLB, IO90PS, 223, Tx, ES6DO, KO27WX, 52, -8
1755345731, 2m, 144175400, FT8, G0BIX, JO01GI, 223, Tx, PA0PVW, JO22VA96, 263, -12
1755345735, 15m, 21074942, FT8, M0KKB, JO01MG, 223, Tx, KD8ZKS, EM99AG99, 291, -13
1755345761, 10m, 28074299, FT8, G3WGC, JO02KT, 223, Tx, SM2Z, KP15KT, 284, -18
1755345764, 10m, 28074664, FT8, G3UAX, IO91MK, 223, Tx, SM2Z, KP15KT, 284, -23
1755345807, 20m, 14076394, FT8, M7GGV, IO91QM, 223, Tx, SP9EJH, JO90MI58, 269, -6
1755345721, 40m, 7075203, FT8, M6INJ, IO90KT, 223, Tx, PD2NLX, JO11XP, 263, -8
1755345796, 40m, 7076031, FT8, M5MOW, IO91VT55LM, 223, Tx, PD2NLX, JO11XP, 263, -8
1755345795, 20m, 14076410, FT8, M7GGV, IO91QM, 223, Tx, WZ7I, FN20KK83, 291, -8
1755345795, 40m, 7075944, FT8, M5MOW, IO91VT55LM, 223, Tx, SK7RN, JO86HU, 284, -8
1755345780, 40m, 7075713, FT8, GW7HQL, IO81IK, 294, Tx, HB9TMC, JN46LJ, 287, -17
1755345780, 20m, 14075509, FT8, M0JBF, IO91RV, 223, Tx, HB9TMC, JN46LJ, 287, -6
